timestamp,asset,asset_type,open,high,low,close,adjusted_close,volume,market_cap
2019-05-28,XRP,Cryptocurrency,0.4334,0.4611,0.4176,0.44877,0.44877,245797208.7,
2019-05-29,XRP,Cryptocurrency,0.44863,0.45701,0.42,0.44307,0.44307,205712650.4,
2019-05-30,XRP,Cryptocurrency,0.44286,0.4735,0.401,0.41789,0.41789,347536093.1,
2019-05-31,XRP,Cryptocurrency,0.41809,0.4408,0.40614,0.43851,0.43851,193230057.5,
2019-06-01,XRP,Cryptocurrency,0.43849,0.44169,0.41664,0.42894,0.42894,113888226.1,
2019-06-02,XRP,Cryptocurrency,0.42856,0.44695,0.42735,0.44396,0.44396,102419845.2,
2019-06-03,XRP,Cryptocurrency,0.44396,0.465,0.417,0.41731,0.41731,235501937.2,
2019-06-04,XRP,Cryptocurrency,0.41739,0.41934,0.3836,0.39878,0.39878,220369532.7,
2019-06-05,XRP,Cryptocurrency,0.3989,0.40597,0.3871,0.4001,0.4001,129307000.7,
2019-06-06,XRP,Cryptocurrency,0.39997,0.427,0.39024,0.41937,0.41937,187115409.8,
2019-06-07,XRP,Cryptocurrency,0.41935,0.43003,0.41389,0.41886,0.41886,121225704.2,
2019-06-08,XRP,Cryptocurrency,0.41871,0.42222,0.4021,0.40699,0.40699,77326412.3,
2019-06-09,XRP,Cryptocurrency,0.40699,0.41043,0.37,0.38527,0.38527,117296911.4,
2019-06-10,XRP,Cryptocurrency,0.38528,0.40346,0.37985,0.3999,0.3999,111675278.5,
2019-06-11,XRP,Cryptocurrency,0.39985,0.40195,0.38175,0.39192,0.39192,75361808.1,
2019-06-12,XRP,Cryptocurrency,0.39209,0.402,0.38726,0.40074,0.40074,80803548.9,
2019-06-13,XRP,Cryptocurrency,0.40075,0.40804,0.3942,0.39876,0.39876,76971683.5,
2019-06-14,XRP,Cryptocurrency,0.39872,0.40364,0.39025,0.40201,0.40201,70743211.6,
2019-06-15,XRP,Cryptocurrency,0.40201,0.41213,0.40052,0.4095,0.4095,144441080.7,
2019-06-16,XRP,Cryptocurrency,0.40949,0.44098,0.40583,0.42703,0.42703,179818739.9,
2019-06-17,XRP,Cryptocurrency,0.42701,0.46311,0.42181,0.44705,0.44705,310680509.3,
2019-06-18,XRP,Cryptocurrency,0.44705,0.45499,0.41963,0.42694,0.42694,247437564.9,
2019-06-19,XRP,Cryptocurrency,0.42697,0.43852,0.42369,0.43406,0.43406,95631659.5,
2019-06-20,XRP,Cryptocurrency,0.43426,0.43592,0.4198,0.42995,0.42995,91377053.5,
2019-06-21,XRP,Cryptocurrency,0.42986,0.45,0.42925,0.4425,0.4425,115252934.3,
2019-06-22,XRP,Cryptocurrency,0.44262,0.50999,0.43752,0.47729,0.47729,348224018.7,
2019-06-23,XRP,Cryptocurrency,0.47714,0.49298,0.465,0.47015,0.47015,162392192.9,
2019-06-24,XRP,Cryptocurrency,0.47015,0.47585,0.45,0.47385,0.47385,116373926.2,
2019-06-25,XRP,Cryptocurrency,0.47391,0.47654,0.455,0.46809,0.46809,156717428.9,
2019-06-26,XRP,Cryptocurrency,0.46809,0.4968,0.453,0.46805,0.46805,287100067.5,
2019-06-27,XRP,Cryptocurrency,0.46773,0.47176,0.3951,0.41049,0.41049,300234945.9,
2019-06-28,XRP,Cryptocurrency,0.41061,0.4272,0.40582,0.4261,0.4261,139943710.4,
2019-06-29,XRP,Cryptocurrency,0.426,0.43,0.40392,0.4262,0.4262,128452215.5,
2019-06-30,XRP,Cryptocurrency,0.42597,0.42859,0.3954,0.3962,0.3962,118288754.1,
2019-07-01,XRP,Cryptocurrency,0.39637,0.42298,0.38804,0.40691,0.40691,135870243.9,
2019-07-02,XRP,Cryptocurrency,0.40694,0.41125,0.38386,0.39794,0.39794,105939905.9,
2019-07-03,XRP,Cryptocurrency,0.39787,0.40666,0.3934,0.40456,0.40456,78793554.4,
2019-07-04,XRP,Cryptocurrency,0.40458,0.4052,0.385,0.38723,0.38723,71298699.9,
2019-07-05,XRP,Cryptocurrency,0.38722,0.38825,0.37325,0.37881,0.37881,71395559.6,
2019-07-06,XRP,Cryptocurrency,0.3787,0.4099,0.37826,0.39031,0.39031,94972192.3,
2019-07-07,XRP,Cryptocurrency,0.39031,0.4007,0.38683,0.39651,0.39651,65893195.7,
2019-07-08,XRP,Cryptocurrency,0.39651,0.403,0.39114,0.40073,0.40073,68579169.6,
2019-07-09,XRP,Cryptocurrency,0.40072,0.40725,0.38875,0.39362,0.39362,84918198.9,
2019-07-10,XRP,Cryptocurrency,0.39361,0.39646,0.34502,0.36154,0.36154,140899188.0,
2019-07-11,XRP,Cryptocurrency,0.36141,0.36285,0.31574,0.32875,0.32875,168118356.8,
2019-07-12,XRP,Cryptocurrency,0.32888,0.34988,0.31968,0.34336,0.34336,126888778.0,
2019-07-13,XRP,Cryptocurrency,0.34336,0.34439,0.32359,0.33206,0.33206,86057978.8,
2019-07-14,XRP,Cryptocurrency,0.33214,0.33549,0.2992,0.30366,0.30366,132780312.2,
